date,cases,deaths,suspectedcases,hospitalized,UTI,totalUTIoccupation,publicUTIoccupation,privateUTIoccupation,vaccinedoses,firstdosepercent
19/03/2020,0,0,101,11,0,,,,,
20/03/2020,0,0,134,11,0,,,,,
21/03/2020,0,0,143,13,7,,,,,
22/03/2020,0,0,143,13,7,,,,,
23/03/2020,3,0,178,23,9,,,,,
24/03/2020,5,0,170,41,19,,,,,
25/03/2020,9,0,186,42,18,,,,,
26/03/2020,12,0,203,46,22,,,,,
27/03/2020,14,0,293,52,22,,,,,
28/03/2020,19,0,294,53,22,,,,,
29/03/2020,20,0,294,53,22,,,,,
30/03/2020,30,0,278,54,22,,,,,
31/03/2020,49,0,345,58,21,,,,,
01/04/2020,66,1,361,80,25,,,,,
02/04/2020,82,4,357,82,23,,,,,
03/04/2020,96,4,374,82,24,,,,,
04/04/2020,104,4,407,112,28,,,,,
05/04/2020,104,4,409,114,28,,,,,
06/04/2020,125,5,429,96,33,,,,,
07/04/2020,141,10,457,101,37,,,,,
08/04/2020,151,10,462,109,37,,,,,
09/04/2020,169,10,471,111,32,,,,,
10/04/2020,192,12,462,115,32,,,,,
11/04/2020,195,14,485,115,32,,,,,
12/04/2020,204,14,485,117,33,,,,,
13/04/2020,243,15,543,132,38,,,,,
14/04/2020,270,18,545,134,35,,,,,
15/04/2020,290,21,572,129,29,,,,,
16/04/2020,299,22,586,146,37,,,,,
17/04/2020,319,22,574,150,44,,,,,
18/04/2020,333,23,577,153,45,,,,,
19/04/2020,342,23,578,158,54,,,,,
20/04/2020,359,25,552,145,48,,,,,
21/04/2020,363,26,556,145,50,,,,,
22/04/2020,392,29,545,149,54,,,,,
23/04/2020,433,31,549,157,63,,,,,
24/04/2020,495,35,549,191,68,,,,,
25/04/2020,495,35,480,193,71,,,,,
26/04/2020,500,35,442,146,63,,,,,
27/04/2020,531,44,386,143,63,,,,,
28/04/2020,579,50,321,139,61,,,,,
29/04/2020,604,51,316,146,59,,,,,
30/04/2020,625,52,325,139,63,,,,,
01/05/2020,656,54,315,150,70,,,,,
02/05/2020,666,55,313,156,73,,,,,
03/05/2020,679,56,301,155,75,,,,,
04/05/2020,716,58,300,158,74,,,,,
05/05/2020,813,60,319,166,81,,,,,
06/05/2020,917,61,333,170,81,,,,,
07/05/2020,981,63,336,164,71,,,,,
08/05/2020,1120,68,347,160,69,,,,,
09/05/2020,1178,69,348,166,76,,,,,
10/05/2020,1217,69,348,170,76,,,,,
11/05/2020,1264,71,352,165,74,,,,,
12/05/2020,1300,72,355,186,72,,,,,
13/05/2020,1382,76,357,177,66,,,,,
14/05/2020,1443,80,381,181,70,,,,,
15/05/2020,1515,82,380,186,73,,,,,
16/05/2020,1559,85,376,178,67,,,,,
17/05/2020,1609,87,376,193,76,,,,,
18/05/2020,1773,93,392,195,76,,,,,
19/05/2020,1903,97,402,192,78,,,,,
20/05/2020,1966,99,398,202,74,,,,,
21/05/2020,2077,104,419,198,80,,,,,
22/05/2020,2260,104,418,195,80,,,,,
23/05/2020,2366,107,423,193,85,,,,,
24/05/2020,2700,107,393,196,84,,,,,
25/05/2020,2892,114,397,197,85,,,,,
26/05/2020,3044,120,393,203,86,,,,,
27/05/2020,3170,137,396,201,77,,,,,
28/05/2020,3260,140,416,200,74,,,,,
29/05/2020,3441,143,430,216,81,,,,,
30/05/2020,3518,149,437,217,76,,,,,
31/05/2020,3640,151,441,215,81,,,,,
01/06/2020,3826,158,457,208,87,,,,,
02/06/2020,4042,160,464,208,89,,,,,
03/06/2020,4252,164,461,209,90,,,,,
04/06/2020,4447,166,462,211,86,,,,,
05/06/2020,4618,175,447,217,89,,,,,
06/06/2020,4690,180,443,217,89,,,,,
07/06/2020,4693,184,439,233,95,,,,,
08/06/2020,4793,188,467,226,92,,,,,
09/06/2020,5021,193,492,235,94,,,,,
10/06/2020,5188,198,508,228,94,,,,,
11/06/2020,5535,206,505,238,104,,,,,
12/06/2020,5744,212,520,234,99,,,,,
13/06/2020,6040,222,538,242,92,,,,,
14/06/2020,6354,222,533,230,89,,,,,
15/06/2020,6493,229,539,220,98,,,,,
16/06/2020,6675,237,546,217,92,,,,,
17/06/2020,6904,250,522,212,84,,,,,
18/06/2020,7101,261,490,206,81,,,,,
19/06/2020,7283,281,471,210,82,,,,,
20/06/2020,7494,297,461,217,83,,,,,
21/06/2020,7709,297,452,218,89,,,,,
22/06/2020,7812,312,481,222,86,,,,,
23/06/2020,7951,323,478,216,88,,,,,
24/06/2020,8126,339,468,200,84,,,,,
25/06/2020,8282,343,450,198,85,,,,,
26/06/2020,8526,359,458,205,84,,,,,
27/06/2020,8637,359,466,201,78,,,,,
28/06/2020,8680,359,466,192,69,,,,,
29/06/2020,8908,367,454,188,70,,,,,
30/06/2020,9001,369,475,180,74,,,,,
01/07/2020,9132,374,457,180,73,,,,,
02/07/2020,9275,379,463,172,69,,,,,
03/07/2020,9486,380,467,182,72,,,,,
04/07/2020,9767,380,466,177,74,,,,,
05/07/2020,10125,380,465,175,73,,,,,
06/07/2020,10932,386,475,171,73,,,,,
07/07/2020,11003,387,669,183,75,,,,,
08/07/2020,11054,391,979,161,66,,,,,
09/07/2020,11154,391,903,164,66,,,,,
10/07/2020,11439,396,781,165,67,,,,,
11/07/2020,11519,398,781,159,63,,,,,
12/07/2020,11519,398,783,152,61,,,,,
13/07/2020,11670,408,689,154,66,,,,,
14/07/2020,11863,408,654,181,73,,,,,
15/07/2020,12104,408,659,165,70,,,,,
16/07/2020,12477,413,606,176,78,,,,,
